Clave de idioma;Plan de cuentas;Cuenta de mayor;Texto breve;Texto explicativo;Texto explicativo
ES;XSON;6001001005;SBF-cable premium/Bo;SBF-cable premium/Bolivia;SBF-CABLE PREMIUM/BOLIVIA
ES;XSON;6001001006;SBF-cable premium/Br;SBF-cable premium/Brasil;SBF-CABLE PREMIUM/BRASIL
ES;XSON;6001001007;SBF-cable premium/Me;SBF-cable premium/Mexico;SBF-CABLE PREMIUM/MEXICO
ES;XSON;6001001008;SBF-cable premium/Ec;SBF-cable premium/Ecuador;SBF-CABLE PREMIUM/ECUADOR
ES;XSON;6001001009;SBF-cable premium/Pe;SBF-cable premium/Peru;SBF-CABLE PREMIUM/PERU
ES;XSON;6001001010;SBF-cable premium/Co;SBF-cable premium/Colombia;SBF-CABLE PREMIUM/COLOMBI
ES;XSON;6001001011;SBF-cable premium/Ve;SBF-cable premium/Venezuela;SBF-CABLE PREMIUM/VENEZUE
ES;XSON;6001001012;SBF-cable premium/Pa;SBF-cable premium/Panama;SBF-CABLE PREMIUM/PANAMA
ES;XSON;6001001013;SBF-cable premium/Ni;SBF-cable premium/Nicaragua;SBF-CABLE PREMIUM/NICARAG
ES;XSON;6001001014;SBF-cable premium/Gu;SBF-cable premium/Guatemala;SBF-CABLE PREMIUM/GUATEMA
ES;XSON;6001001015;SBF-cable premium/El;SBF-cable premium/El Salvador;SBF-CABLE PREMIUM/EL SALV
ES;XSON;6001001016;SBF-cable premium/Co;SBF-cable premium/Costa Rica;SBF-CABLE PREMIUM/COSTA R
ES;XSON;6001001017;SBF-cable premium/Ho;SBF-cable premium/Honduras;SBF-CABLE PREMIUM/HONDURA
ES;XSON;6001001018;SBF-cable premium/E.;SBF-cable premium/E.E.U.U.;SBF-CABLE PREMIUM/E.E.U.U
ES;XSON;6001001019;SBF-cable premium/Es;SBF-cable premium/Espa§a;SBF-CABLE PREMIUM/ESPA•A
ES;XSON;6001001020;SBF-cable premium/Fr;SBF-cable premium/Francia;SBF-CABLE PREMIUM/FRANCIA
ES;XSON;6001001021;SBF-cable premium/In;SBF-cable premium/Inglaterra;SBF-CABLE PREMIUM/INGLATE
ES;XSON;6001001022;SBF-cable premium/Ja;SBF-cable premium/Japon;SBF-CABLE PREMIUM/JAPON
ES;XSON;6001001023;SBF-cable premium/Au;SBF-cable premium/Australia;SBF-CABLE PREMIUM/AUSTRAL
ES;XSON;6001001024;SBF-cable premium/Pu;SBF-cable premium/Puerto Rico;SBF-CABLE PREMIUM/PUERTO
ES;XSON;6001001025;SBF-cable premium/Ca;SBF-cable premium/Caribe;SBF-CABLE PREMIUM/CARIBE
ES;XSON;6001001026;SBF-cable premium/Re;SBF-cable premium/Rep.Dominicana;SBF-CABLE PREMIUM/REP.DOM
ES;XSON;6001001027;SBF-cable premium/Br;SBF-cable premium/British Virgin;SBF-CABLE PREMIUM/BRITISH
ES;XSON;6001001030;SBF-cable premium/Po;SBF-cable premium/Portugal;SBF-CABLE PREMIUM/PORTUGA
ES;XSON;6001001031;SBF-cable premium/Ar;SBF-cable premium/Aruba;SBF-CABLE PREMIUM/ARUBA
ES;XSON;6001001032;SBF-cable premium/Be;SBF-cable premium/Belgica;SBF-CABLE PREMIUM/BELGICA
ES;XSON;6001001033;SBF-cable premium/Cu;SBF-cable premium/Curacao;SBF-CABLE PREMIUM/CURACAO
ES;XSON;6001001035;SBF-cable premium/An;SBF-cable premium/Ant.Holandesas;SBF-CABLE PREMIUM/ANT.HOL
ES;XSON;6001001036;SBF-cable premium/Ja;SBF-cable premium/Jamaica;SBF-CABLE PREMIUM/JAMAICA
ES;XSON;6001001037;SBF-cable premium/Ba;SBF-cable premium/Bahamas;SBF-CABLE PREMIUM/BAHAMAS
ES;XSON;6001001038;SBF-cable premium/It;SBF-cable premium/Italia;SBF-CABLE PREMIUM/ITALIA
ES;XSON;6001001041;SBF-cable premium/Ko;SBF-cable premium/Korea;SBF-CABLE PREMIUM/KOREA
ES;XSON;6001001042;SBF-cable premium/Is;SBF-cable premium/Israel;SBF-CABLE PREMIUM/ISRAEL
ES;XSON;6001001043;SBF-cable premium/Ru;SBF-cable premium/Rusia;SBF-CABLE PREMIUM/RUSIA
ES;XSON;6001001044;SBF-cable premium/Re;SBF-cable premium/Rep.Checa;SBF-CABLE PREMIUM/REP.CHE
ES;XSON;6001001045;SBF-cable premium/US;SBF-cable premium/US Virgin Island;SBF-CABLE PREMIUM/US VIRG
ES;XSON;6001001046;SBF-cable premium/Es;SBF-cable premium/Eslovenia;SBF-CABLE PREMIUM/ESLOVEN
ES;XSON;6001001047;SBF-cable premium/Hu;SBF-cable premium/Hungria;SBF-CABLE PREMIUM/HUNGRIA
ES;XSON;6001001048;SBF-cable premium/Ru;SBF-cable premium/Rumania;SBF-CABLE PREMIUM/RUMANIA
ES;XSON;6001001049;SBF-cable premium/Ta;SBF-cable premium/Tailandia;SBF-CABLE PREMIUM/TAILAND
ES;XSON;6001001050;SBF-cable premium/Ch;SBF-cable premium/Chipre;SBF-CABLE PREMIUM/CHIPRE
ES;XSON;6001001051;SBF-cable premium/Bu;SBF-cable premium/Bulgaria;SBF-CABLE PREMIUM/BULGARI
ES;XSON;6001001052;SBF-cable premium/Tr;SBF-cable premium/Trinidad;SBF-CABLE PREMIUM/TRINIDA
ES;XSON;6001001053;SBF-cable premium/Gr;SBF-cable premium/Grecia;SBF-CABLE PREMIUM/GRECIA
ES;XSON;6001001099;SBF-cable premium/Ot;SBF-cable premium/Other;SBF-CABLE PREMIUM/OTHER
ES;XSON;6001002001;SBF-cable PPV/Argent;SBF-cable PPV/Argentina;SBF-CABLE PPV/ARGENTINA
ES;XSON;6001002002;SBF-cable PPV/Chile;SBF-cable PPV/Chile;SBF-CABLE PPV/CHILE
ES;XSON;6001002003;SBF-cable PPV/Urugua;SBF-cable PPV/Uruguay;SBF-CABLE PPV/URUGUAY
ES;XSON;6001002004;SBF-cable PPV/Paragu;SBF-cable PPV/Paraguay;SBF-CABLE PPV/PARAGUAY
ES;XSON;6001002005;SBF-cable PPV/Bolivi;SBF-cable PPV/Bolivia;SBF-CABLE PPV/BOLIVIA
ES;XSON;6001002006;SBF-cable PPV/Brasil;SBF-cable PPV/Brasil;SBF-CABLE PPV/BRASIL
ES;XSON;6001002007;SBF-cable PPV/Mexico;SBF-cable PPV/Mexico;SBF-CABLE PPV/MEXICO
ES;XSON;6001002008;SBF-cable PPV/Ecuado;SBF-cable PPV/Ecuador;SBF-CABLE PPV/ECUADOR
ES;XSON;6001002009;SBF-cable PPV/Peru;SBF-cable PPV/Peru;SBF-CABLE PPV/PERU
ES;XSON;6001002010;SBF-cable PPV/Colomb;SBF-cable PPV/Colombia;SBF-CABLE PPV/COLOMBIA
ES;XSON;6001002011;SBF-cable PPV/Venezu;SBF-cable PPV/Venezuela;SBF-CABLE PPV/VENEZUELA
ES;XSON;6001002012;SBF-cable PPV/Panama;SBF-cable PPV/Panama;SBF-CABLE PPV/PANAMA
ES;XSON;6001002013;SBF-cable PPV/Nicara;SBF-cable PPV/Nicaragua;SBF-CABLE PPV/NICARAGUA
ES;XSON;6001002014;SBF-cable PPV/Guatem;SBF-cable PPV/Guatemala;SBF-CABLE PPV/GUATEMALA
ES;XSON;6001002015;SBF-cable PPV/El Sal;SBF-cable PPV/El Salvador;SBF-CABLE PPV/EL SALVADOR
ES;XSON;6001002016;SBF-cable PPV/Costa;SBF-cable PPV/Costa Rica;SBF-CABLE PPV/COSTA RICA
ES;XSON;6001002017;SBF-cable PPV/Hondur;SBF-cable PPV/Honduras;SBF-CABLE PPV/HONDURAS
ES;XSON;6001002018;SBF-cable PPV/E.E.U.;SBF-cable PPV/E.E.U.U.;SBF-CABLE PPV/E.E.U.U.
ES;XSON;6001002019;SBF-cable PPV/Espa§a;SBF-cable PPV/Espa§a;SBF-CABLE PPV/ESPA•A
ES;XSON;6001002020;SBF-cable PPV/Franci;SBF-cable PPV/Francia;SBF-CABLE PPV/FRANCIA
ES;XSON;6001002021;SBF-cable PPV/Inglat;SBF-cable PPV/Inglaterra;SBF-CABLE PPV/INGLATERRA
ES;XSON;6001002022;SBF-cable PPV/Japon;SBF-cable PPV/Japon;SBF-CABLE PPV/JAPON
ES;XSON;6001002023;SBF-cable PPV/Austra;SBF-cable PPV/Australia;SBF-CABLE PPV/AUSTRALIA
ES;XSON;6001002024;SBF-cable PPV/Puerto;SBF-cable PPV/Puerto Rico;SBF-CABLE PPV/PUERTO RICO
ES;XSON;6001002025;SBF-cable PPV/Caribe;SBF-cable PPV/Caribe;SBF-CABLE PPV/CARIBE
ES;XSON;6001002026;SBF-cable PPV/Rep.Do;SBF-cable PPV/Rep.Dominicana;SBF-CABLE PPV/REP.DOMINIC
ES;XSON;6001002027;SBF-cable PPV/Britis;SBF-cable PPV/British Virgin;SBF-CABLE PPV/BRITISH VIR
ES;XSON;6001002030;SBF-cable PPV/Portug;SBF-cable PPV/Portugal;SBF-CABLE PPV/PORTUGAL
ES;XSON;6001002031;SBF-cable PPV/Aruba;SBF-cable PPV/Aruba;SBF-CABLE PPV/ARUBA
ES;XSON;6001002032;SBF-cable PPV/Belgic;SBF-cable PPV/Belgica;SBF-CABLE PPV/BELGICA
ES;XSON;6001002033;SBF-cable PPV/Curaca;SBF-cable PPV/Curacao;SBF-CABLE PPV/CURACAO
ES;XSON;6001002035;SBF-cable PPV/Ant.Ho;SBF-cable PPV/Ant.Holandesas;SBF-CABLE PPV/ANT.HOLANDE
ES;XSON;6001002036;SBF-cable PPV/Jamaic;SBF-cable PPV/Jamaica;SBF-CABLE PPV/JAMAICA
ES;XSON;6001002037;SBF-cable PPV/Bahama;SBF-cable PPV/Bahamas;SBF-CABLE PPV/BAHAMAS
ES;XSON;6001002038;SBF-cable PPV/Italia;SBF-cable PPV/Italia;SBF-CABLE PPV/ITALIA
ES;XSON;6001002041;SBF-cable PPV/Korea;SBF-cable PPV/Korea;SBF-CABLE PPV/KOREA
ES;XSON;6001002042;SBF-cable PPV/Israel;SBF-cable PPV/Israel;SBF-CABLE PPV/ISRAEL
ES;XSON;6001002043;SBF-cable PPV/Rusia;SBF-cable PPV/Rusia;SBF-CABLE PPV/RUSIA
ES;XSON;6001002044;SBF-cable PPV/Rep.Ch;SBF-cable PPV/Rep.Checa;SBF-CABLE PPV/REP.CHECA
ES;XSON;6001002045;SBF-cable PPV/US Vir;SBF-cable PPV/US Virgin Island;SBF-CABLE PPV/US VIRGIN I
ES;XSON;6001002046;SBF-cable PPV/Eslove;SBF-cable PPV/Eslovenia;SBF-CABLE PPV/ESLOVENIA
ES;XSON;6001002047;SBF-cable PPV/Hungri;SBF-cable PPV/Hungria;SBF-CABLE PPV/HUNGRIA
ES;XSON;6001002048;SBF-cable PPV/Rumani;SBF-cable PPV/Rumania;SBF-CABLE PPV/RUMANIA
ES;XSON;6001002049;SBF-cable PPV/Tailan;SBF-cable PPV/Tailandia;SBF-CABLE PPV/TAILANDIA
ES;XSON;6001002050;SBF-cable PPV/Chipre;SBF-cable PPV/Chipre;SBF-CABLE PPV/CHIPRE
ES;XSON;6001002051;SBF-cable PPV/Bulgar;SBF-cable PPV/Bulgaria;SBF-CABLE PPV/BULGARIA
ES;XSON;6001002052;SBF-cable PPV/Trinid;SBF-cable PPV/Trinidad;SBF-CABLE PPV/TRINIDAD
ES;XSON;6001002053;SBF-cable PPV/Grecia;SBF-cable PPV/Grecia;SBF-CABLE PPV/GRECIA
ES;XSON;6001002099;SBF-cable PPV/Other;SBF-cable PPV/Other;SBF-CABLE PPV/OTHER
ES;XSON;6001095000;AxI-SBF-Cable;AxI-SBF-Cable;AXI-SBF-CABLE
ES;XSON;6001100001;SBF DTH - b†sico/Arg;SBF DTH - b†sico/Argentina;SBF DTH - BµSICO/ARGENTIN
ES;XSON;6001100002;SBF DTH - b†sico/Chi;SBF DTH - b†sico/Chile;SBF DTH - BµSICO/CHILE
ES;XSON;6001100003;SBF DTH - b†sico/Uru;SBF DTH - b†sico/Uruguay;SBF DTH - BµSICO/URUGUAY
ES;XSON;6001100004;SBF DTH - b†sico/Par;SBF DTH - b†sico/Paraguay;SBF DTH - BµSICO/PARAGUAY
ES;XSON;6001100005;SBF DTH - b†sico/Bol;SBF DTH - b†sico/Bolivia;SBF DTH - BµSICO/BOLIVIA
ES;XSON;6001100006;SBF DTH - b†sico/Bra;SBF DTH - b†sico/Brasil;SBF DTH - BµSICO/BRASIL
ES;XSON;6001100007;SBF DTH - b†sico/Mex;SBF DTH - b†sico/Mexico;SBF DTH - BµSICO/MEXICO
ES;XSON;6001100008;SBF DTH - b†sico/Ecu;SBF DTH - b†sico/Ecuador;SBF DTH - BµSICO/ECUADOR
ES;XSON;6001100009;SBF DTH - b†sico/Per;SBF DTH - b†sico/Peru;SBF DTH - BµSICO/PERU
ES;XSON;6001100010;SBF DTH - b†sico/Col;SBF DTH - b†sico/Colombia;SBF DTH - BµSICO/COLOMBIA
ES;XSON;6001100011;SBF DTH - b†sico/Ven;SBF DTH - b†sico/Venezuela;SBF DTH - BµSICO/VENEZUEL
ES;XSON;6001100012;SBF DTH - b†sico/Pan;SBF DTH - b†sico/Panama;SBF DTH - BµSICO/PANAMA
ES;XSON;6001100013;SBF DTH - b†sico/Nic;SBF DTH - b†sico/Nicaragua;SBF DTH - BµSICO/NICARAGU
ES;XSON;6001100014;SBF DTH - b†sico/Gua;SBF DTH - b†sico/Guatemala;SBF DTH - BµSICO/GUATEMAL
ES;XSON;6001100015;SBF DTH - b†sico/El;SBF DTH - b†sico/El Salvador;SBF DTH - BµSICO/EL SALVA
ES;XSON;6001100016;SBF DTH - b†sico/Cos;SBF DTH - b†sico/Costa Rica;SBF DTH - BµSICO/COSTA RI
ES;XSON;6001100017;SBF DTH - b†sico/Hon;SBF DTH - b†sico/Honduras;SBF DTH - BµSICO/HONDURAS
ES;XSON;6001100018;SBF DTH - b†sico/E.E;SBF DTH - b†sico/E.E.U.U.;SBF DTH - BµSICO/E.E.U.U.
ES;XSON;6001100019;SBF DTH - b†sico/Esp;SBF DTH - b†sico/Espa§a;SBF DTH - BµSICO/ESPA•A
ES;XSON;6001100020;SBF DTH - b†sico/Fra;SBF DTH - b†sico/Francia;SBF DTH - BµSICO/FRANCIA
ES;XSON;6001100021;SBF DTH - b†sico/Ing;SBF DTH - b†sico/Inglaterra;SBF DTH - BµSICO/INGLATER
ES;XSON;6001100022;SBF DTH - b†sico/Jap;SBF DTH - b†sico/Japon;SBF DTH - BµSICO/JAPON
ES;XSON;6001100023;SBF DTH - b†sico/Aus;SBF DTH - b†sico/Australia;SBF DTH - BµSICO/AUSTRALI
ES;XSON;6001100024;SBF DTH - b†sico/Pue;SBF DTH - b†sico/Puerto Rico;SBF DTH - BµSICO/PUERTO R
ES;XSON;6001100025;SBF DTH - b†sico/Car;SBF DTH - b†sico/Caribe;SBF DTH - BµSICO/CARIBE
ES;XSON;6001100026;SBF DTH - b†sico/Rep;SBF DTH - b†sico/Rep.Dominicana;SBF DTH - BµSICO/REP.DOMI
ES;XSON;6001100027;SBF DTH - b†sico/Bri;SBF DTH - b†sico/British Virgin;SBF DTH - BµSICO/BRITISH
ES;XSON;6001100030;SBF DTH - b†sico/Por;SBF DTH - b†sico/Portugal;SBF DTH - BµSICO/PORTUGAL
ES;XSON;6001100031;SBF DTH - b†sico/Aru;SBF DTH - b†sico/Aruba;SBF DTH - BµSICO/ARUBA
ES;XSON;6001100032;SBF DTH - b†sico/Bel;SBF DTH - b†sico/Belgica;SBF DTH - BµSICO/BELGICA
ES;XSON;6001100033;SBF DTH - b†sico/Cur;SBF DTH - b†sico/Curacao;SBF DTH - BµSICO/CURACAO
ES;XSON;6001100035;SBF DTH - b†sico/Ant;SBF DTH - b†sico/Ant.Holandesas;SBF DTH - BµSICO/ANT.HOLA
ES;XSON;6001100036;SBF DTH - b†sico/Jam;SBF DTH - b†sico/Jamaica;SBF DTH - BµSICO/JAMAICA
ES;XSON;6001100037;SBF DTH - b†sico/Bah;SBF DTH - b†sico/Bahamas;SBF DTH - BµSICO/BAHAMAS
ES;XSON;6001100038;SBF DTH - b†sico/Ita;SBF DTH - b†sico/Italia;SBF DTH - BµSICO/ITALIA
ES;XSON;6001100041;SBF DTH - b†sico/Kor;SBF DTH - b†sico/Korea;SBF DTH - BµSICO/KOREA
ES;XSON;6001100042;SBF DTH - b†sico/Isr;SBF DTH - b†sico/Israel;SBF DTH - BµSICO/ISRAEL
ES;XSON;6001100043;SBF DTH - b†sico/Rus;SBF DTH - b†sico/Rusia;SBF DTH - BµSICO/RUSIA
ES;XSON;6001100044;SBF DTH - b†sico/Rep;SBF DTH - b†sico/Rep.Checa;SBF DTH - BµSICO/REP.CHEC
ES;XSON;6001100045;SBF DTH - b†sico/US;SBF DTH - b†sico/US Virgin Island;SBF DTH - BµSICO/US VIRGI
ES;XSON;6001100046;SBF DTH - b†sico/Esl;SBF DTH - b†sico/Eslovenia;SBF DTH - BµSICO/ESLOVENI
ES;XSON;6001100047;SBF DTH - b†sico/Hun;SBF DTH - b†sico/Hungria;SBF DTH - BµSICO/HUNGRIA
ES;XSON;6001100048;SBF DTH - b†sico/Rum;SBF DTH - b†sico/Rumania;SBF DTH - BµSICO/RUMANIA
ES;XSON;6001100049;SBF DTH - b†sico/Tai;SBF DTH - b†sico/Tailandia;SBF DTH - BµSICO/TAILANDI
ES;XSON;6001100050;SBF DTH - b†sico/Chi;SBF DTH - b†sico/Chipre;SBF DTH - BµSICO/CHIPRE
ES;XSON;6001100051;SBF DTH - b†sico/Bul;SBF DTH - b†sico/Bulgaria;SBF DTH - BµSICO/BULGARIA
ES;XSON;6001100052;SBF DTH - b†sico/Tri;SBF DTH - b†sico/Trinidad;SBF DTH - BµSICO/TRINIDAD
ES;XSON;6001100053;SBF DTH - b†sico/Gre;SBF DTH - b†sico/Grecia;SBF DTH - BµSICO/GRECIA
ES;XSON;6001100099;SBF DTH - b†sico/Oth;SBF DTH - b†sico/Other;SBF DTH - BµSICO/OTHER
ES;XSON;6001101001;SBF DTH - premium/Ar;SBF DTH - premium/Argentina;SBF DTH - PREMIUM/ARGENTI
ES;XSON;6001101002;SBF DTH - premium/Ch;SBF DTH - premium/Chile;SBF DTH - PREMIUM/CHILE
ES;XSON;6001101003;SBF DTH - premium/Ur;SBF DTH - premium/Uruguay;SBF DTH - PREMIUM/URUGUAY
ES;XSON;6001101004;SBF DTH - premium/Pa;SBF DTH - premium/Paraguay;SBF DTH - PREMIUM/PARAGUA
ES;XSON;6001101005;SBF DTH - premium/Bo;SBF DTH - premium/Bolivia;SBF DTH - PREMIUM/BOLIVIA
ES;XSON;6001101006;SBF DTH - premium/Br;SBF DTH - premium/Brasil;SBF DTH - PREMIUM/BRASIL
ES;XSON;6001101007;SBF DTH - premium/Me;SBF DTH - premium/Mexico;SBF DTH - PREMIUM/MEXICO
ES;XSON;6001101008;SBF DTH - premium/Ec;SBF DTH - premium/Ecuador;SBF DTH - PREMIUM/ECUADOR
ES;XSON;6001101009;SBF DTH - premium/Pe;SBF DTH - premium/Peru;SBF DTH - PREMIUM/PERU
ES;XSON;6001101010;SBF DTH - premium/Co;SBF DTH - premium/Colombia;SBF DTH - PREMIUM/COLOMBI
ES;XSON;6001101011;SBF DTH - premium/Ve;SBF DTH - premium/Venezuela;SBF DTH - PREMIUM/VENEZUE
ES;XSON;6001101012;SBF DTH - premium/Pa;SBF DTH - premium/Panama;SBF DTH - PREMIUM/PANAMA
ES;XSON;6001101013;SBF DTH - premium/Ni;SBF DTH - premium/Nicaragua;SBF DTH - PREMIUM/NICARAG
ES;XSON;6001101014;SBF DTH - premium/Gu;SBF DTH - premium/Guatemala;SBF DTH - PREMIUM/GUATEMA
ES;XSON;6001101015;SBF DTH - premium/El;SBF DTH - premium/El Salvador;SBF DTH - PREMIUM/EL SALV
ES;XSON;6001101016;SBF DTH - premium/Co;SBF DTH - premium/Costa Rica;SBF DTH - PREMIUM/COSTA R
ES;XSON;6001101017;SBF DTH - premium/Ho;SBF DTH - premium/Honduras;SBF DTH - PREMIUM/HONDURA
ES;XSON;6001101018;SBF DTH - premium/E.;SBF DTH - premium/E.E.U.U.;SBF DTH - PREMIUM/E.E.U.U
ES;XSON;6001101019;SBF DTH - premium/Es;SBF DTH - premium/Espa§a;SBF DTH - PREMIUM/ESPA•A
ES;XSON;6001101020;SBF DTH - premium/Fr;SBF DTH - premium/Francia;SBF DTH - PREMIUM/FRANCIA
ES;XSON;6001101021;SBF DTH - premium/In;SBF DTH - premium/Inglaterra;SBF DTH - PREMIUM/INGLATE
ES;XSON;6001101022;SBF DTH - premium/Ja;SBF DTH - premium/Japon;SBF DTH - PREMIUM/JAPON
ES;XSON;6001101023;SBF DTH - premium/Au;SBF DTH - premium/Australia;SBF DTH - PREMIUM/AUSTRAL
ES;XSON;6001101024;SBF DTH - premium/Pu;SBF DTH - premium/Puerto Rico;SBF DTH - PREMIUM/PUERTO
ES;XSON;6001101025;SBF DTH - premium/Ca;SBF DTH - premium/Caribe;SBF DTH - PREMIUM/CARIBE
ES;XSON;6001101026;SBF DTH - premium/Re;SBF DTH - premium/Rep.Dominicana;SBF DTH - PREMIUM/REP.DOM
ES;XSON;6001101027;SBF DTH - premium/Br;SBF DTH - premium/British Virgin;SBF DTH - PREMIUM/BRITISH
ES;XSON;6001101030;SBF DTH - premium/Po;SBF DTH - premium/Portugal;SBF DTH - PREMIUM/PORTUGA
ES;XSON;6001101031;SBF DTH - premium/Ar;SBF DTH - premium/Aruba;SBF DTH - PREMIUM/ARUBA
ES;XSON;6001101032;SBF DTH - premium/Be;SBF DTH - premium/Belgica;SBF DTH - PREMIUM/BELGICA
ES;XSON;6001101033;SBF DTH - premium/Cu;SBF DTH - premium/Curacao;SBF DTH - PREMIUM/CURACAO
ES;XSON;6001101035;SBF DTH - premium/An;SBF DTH - premium/Ant.Holandesas;SBF DTH - PREMIUM/ANT.HOL
ES;XSON;6001101036;SBF DTH - premium/Ja;SBF DTH - premium/Jamaica;SBF DTH - PREMIUM/JAMAICA
ES;XSON;6001101037;SBF DTH - premium/Ba;SBF DTH - premium/Bahamas;SBF DTH - PREMIUM/BAHAMAS
ES;XSON;6001101038;SBF DTH - premium/It;SBF DTH - premium/Italia;SBF DTH - PREMIUM/ITALIA
ES;XSON;6001101041;SBF DTH - premium/Ko;SBF DTH - premium/Korea;SBF DTH - PREMIUM/KOREA
ES;XSON;6001101042;SBF DTH - premium/Is;SBF DTH - premium/Israel;SBF DTH - PREMIUM/ISRAEL
ES;XSON;6001101043;SBF DTH - premium/Ru;SBF DTH - premium/Rusia;SBF DTH - PREMIUM/RUSIA
ES;XSON;6001101044;SBF DTH - premium/Re;SBF DTH - premium/Rep.Checa;SBF DTH - PREMIUM/REP.CHE
ES;XSON;6001101045;SBF DTH - premium/US;SBF DTH - premium/US Virgin Island;SBF DTH - PREMIUM/US VIRG
ES;XSON;6001101046;SBF DTH - premium/Es;SBF DTH - premium/Eslovenia;SBF DTH - PREMIUM/ESLOVEN
ES;XSON;6001101047;SBF DTH - premium/Hu;SBF DTH - premium/Hungria;SBF DTH - PREMIUM/HUNGRIA
ES;XSON;6001101048;SBF DTH - premium/Ru;SBF DTH - premium/Rumania;SBF DTH - PREMIUM/RUMANIA
ES;XSON;6001101049;SBF DTH - premium/Ta;SBF DTH - premium/Tailandia;SBF DTH - PREMIUM/TAILAND
ES;XSON;6001101050;SBF DTH - premium/Ch;SBF DTH - premium/Chipre;SBF DTH - PREMIUM/CHIPRE
ES;XSON;6001101051;SBF DTH - premium/Bu;SBF DTH - premium/Bulgaria;SBF DTH - PREMIUM/BULGARI
ES;XSON;6001101052;SBF DTH - premium/Tr;SBF DTH - premium/Trinidad;SBF DTH - PREMIUM/TRINIDA
ES;XSON;6001101053;SBF DTH - premium/Gr;SBF DTH - premium/Grecia;SBF DTH - PREMIUM/GRECIA
ES;XSON;6001101099;SBF DTH - premium/Ot;SBF DTH - premium/Other;SBF DTH - PREMIUM/OTHER
ES;XSON;6001102001;SBF DTH - PPV/Argent;SBF DTH - PPV/Argentina;SBF DTH - PPV/ARGENTINA
ES;XSON;6001102002;SBF DTH - PPV/Chile;SBF DTH - PPV/Chile;SBF DTH - PPV/CHILE
ES;XSON;6001102003;SBF DTH - PPV/Urugua;SBF DTH - PPV/Uruguay;SBF DTH - PPV/URUGUAY
ES;XSON;6001102004;SBF DTH - PPV/Paragu;SBF DTH - PPV/Paraguay;SBF DTH - PPV/PARAGUAY
ES;XSON;6001102005;SBF DTH - PPV/Bolivi;SBF DTH - PPV/Bolivia;SBF DTH - PPV/BOLIVIA
ES;XSON;6001102006;SBF DTH - PPV/Brasil;SBF DTH - PPV/Brasil;SBF DTH - PPV/BRASIL
ES;XSON;6001102007;SBF DTH - PPV/Mexico;SBF DTH - PPV/Mexico;SBF DTH - PPV/MEXICO
ES;XSON;6001102008;SBF DTH - PPV/Ecuado;SBF DTH - PPV/Ecuador;SBF DTH - PPV/ECUADOR
ES;XSON;6001102009;SBF DTH - PPV/Peru;SBF DTH - PPV/Peru;SBF DTH - PPV/PERU
ES;XSON;6001102010;SBF DTH - PPV/Colomb;SBF DTH - PPV/Colombia;SBF DTH - PPV/COLOMBIA
ES;XSON;6001102011;SBF DTH - PPV/Venezu;SBF DTH - PPV/Venezuela;SBF DTH - PPV/VENEZUELA
ES;XSON;6001102012;SBF DTH - PPV/Panama;SBF DTH - PPV/Panama;SBF DTH - PPV/PANAMA
ES;XSON;6001102013;SBF DTH - PPV/Nicara;SBF DTH - PPV/Nicaragua;SBF DTH - PPV/NICARAGUA
ES;XSON;6001102014;SBF DTH - PPV/Guatem;SBF DTH - PPV/Guatemala;SBF DTH - PPV/GUATEMALA
ES;XSON;6001102015;SBF DTH - PPV/El Sal;SBF DTH - PPV/El Salvador;SBF DTH - PPV/EL SALVADOR
ES;XSON;6001102016;SBF DTH - PPV/Costa;SBF DTH - PPV/Costa Rica;SBF DTH - PPV/COSTA RICA
ES;XSON;6001102017;SBF DTH - PPV/Hondur;SBF DTH - PPV/Honduras;SBF DTH - PPV/HONDURAS
ES;XSON;6001102018;SBF DTH - PPV/E.E.U.;SBF DTH - PPV/E.E.U.U.;SBF DTH - PPV/E.E.U.U.
ES;XSON;6001102019;SBF DTH - PPV/Espa§a;SBF DTH - PPV/Espa§a;SBF DTH - PPV/ESPA•A
ES;XSON;6001102020;SBF DTH - PPV/Franci;SBF DTH - PPV/Francia;SBF DTH - PPV/FRANCIA
ES;XSON;6001102021;SBF DTH - PPV/Inglat;SBF DTH - PPV/Inglaterra;SBF DTH - PPV/INGLATERRA
ES;XSON;6001102022;SBF DTH - PPV/Japon;SBF DTH - PPV/Japon;SBF DTH - PPV/JAPON
ES;XSON;6001102023;SBF DTH - PPV/Austra;SBF DTH - PPV/Australia;SBF DTH - PPV/AUSTRALIA
ES;XSON;6001102024;SBF DTH - PPV/Puerto;SBF DTH - PPV/Puerto Rico;SBF DTH - PPV/PUERTO RICO
ES;XSON;6001102025;SBF DTH - PPV/Caribe;SBF DTH - PPV/Caribe;SBF DTH - PPV/CARIBE
ES;XSON;6001102026;SBF DTH - PPV/Rep.Do;SBF DTH - PPV/Rep.Dominicana;SBF DTH - PPV/REP.DOMINIC
ES;XSON;6001102027;SBF DTH - PPV/Britis;SBF DTH - PPV/British Virgin;SBF DTH - PPV/BRITISH VIR
ES;XSON;6001102030;SBF DTH - PPV/Portug;SBF DTH - PPV/Portugal;SBF DTH - PPV/PORTUGAL
ES;XSON;6001102031;SBF DTH - PPV/Aruba;SBF DTH - PPV/Aruba;SBF DTH - PPV/ARUBA
ES;XSON;6001102032;SBF DTH - PPV/Belgic;SBF DTH - PPV/Belgica;SBF DTH - PPV/BELGICA
