XA01;1001000100;Cash
XA01;1001000105;Cash USD
XA01;1001000999;Compra de divisas - Cuenta puente
XA01;1001100099;A.V-Petty Cash
XA01;1001100100;Petty Cash
XA01;1002000099;AV Bancos
XA01;1002000130;Santader Rio Cramer
XA01;1002000131;Entrada de cheques - Santander Rio
XA01;1002000132;Salida de cheques - Santander Rio
XA01;1002000133;Transferencias - Santander Rio
XA01;1002000134;Otros debitos - Santander Rio
XA01;1002000135;Otros creditos - Santander Rio
XA01;1002000160;HSBC NO USAR
XA01;1002000161;Entrada de cheques - HSBC NO USAR
XA01;1002000162;Salida de cheques - HSBC NO USAR
XA01;1002000163;Transferencias - HSBC NO USAR
XA01;1002000164;Otros debitos - HSBC NO USAR
XA01;1002000165;Otros creditos - HSBC NO USAR
XA01;1002000210;HSBC Cuenta pagos NO USAR
XA01;1002000211;Entrada de cheques - HSBC cuenta pagos NO USAR
XA01;1002000212;Salida de cheques - HSBC cuenta pagos NO USAR
XA01;1002000213;Transferencias - HSBC cuenta pagos NO USAR
XA01;1002000214;Otros debitos - HSBC cuenta pagos NO USAR
XA01;1002000215;Otros creditos - HSBC cuenta pagos NO USAR
XA01;1002000260;HSBC-B.Norte CC$ 3013-24377-0
XA01;1002000261;Entrada de cheques - HSBC-B.Norte CC$ 3013-24377-0
XA01;1002000262;Salida de cheques - HSBC-B.Norte CC$ 3013-24377-0
XA01;1002000263;Transferencias - HSBC-B.Norte CC$ 3013-24377-0
XA01;1002000264;Otros debitos-HSBC-B.Norte CC$ 3013-24377-0
XA01;1002000265;Otros creditos - HSBC-B.Norte CC$ 3013-24377-0
XA01;1002010800;Banco de Venezuela
XA01;1002010801;Entrada de cheques - Bco. de Venezuela
XA01;1002010802;Salida de cheques - Bco. de Venezuela
XA01;1002010803;Transferencias - Bco. de Venezuela
XA01;1002010804;Otros debitos - Bco. de Venezuela
XA01;1002010805;Otros creditos - Bco. de Venezuela
XA01;1002100099;AV-Bancos exterior
XA01;1111000100;Stocks
XA01;1111500100;Common Investment Found
XA01;1111500110;Stocks
XA01;1111500190;Other Securities
XA01;1111595110;AxI-Acciones
XA01;1119000100;Other Current Investments
XA01;1121000100;Accounts Receivable-SBF
XA01;1121000101;Accounts Receivable-Internet
XA01;1121000110;Accounts Receivable - Advertising
XA01;1121000115;Accounts Receivable - Mobile
XA01;1121000120;Accounts Receivable - Exhib.rights
XA01;1121000135;Accounts Receivable - Other
XA01;1121000179;AV-Recaudacion electronica
XA01;1121000180;Electronic collections
XA01;1121000184;AV-Transferencias de terceros
XA01;1121000185;Third party transfers
XA01;1121050090;Av-Accounts Receivable-SBF
XA01;1121050091;Av-Accounts Receivable - Advertising
XA01;1121050092;Av-Accounts Receivable - Mobile
XA01;1121050093;Av-Accounts Receivable - Exhib.rights
XA01;1121050094;Av-Accounts Receivable - Other
XA01;1121050100;Accounts Receivable-SBF(RA)
XA01;1121050101;Due From Affiliates-Claxson USA II, Inc.
XA01;1121050110;Accounts Receivable - Advertising(RA)
XA01;1121050115;Accounts Receivable - Mobile(RA)
XA01;1121050120;Accounts Receivable - Exhib.rights(RA)
XA01;1121050135;Accounts Receivable - Other(RA)
XA01;1121100100;Accounts Receivables-Related
XA01;1121150099;Av-Accounts Receivables-Related
XA01;1121150100;Accounts Receivables-Related(RA)
XA01;1121500100;Interest to accrued
XA01;1122000099;AV-Valores a depositar-SBF
XA01;1122000100;Deposits in transit-SBF
XA01;1122000109;AV-Valores a depositar-Publicidad
XA01;1122000110;Deposits in transit-Advertising
XA01;1122000114;AV-Valores a depositar-Mobile
XA01;1122000115;Deposits in transit-Mobile
XA01;1122000119;AV-Valores a depositar-Derechos de exhibicion
XA01;1122000120;Deposits in transit-Exhib.Rights
XA01;1122000134;AV-Valores a depositar-Otras ventas
XA01;1122000135;Deposits in transit-Other
XA01;1122000149;AV-Cheques rechazados
XA01;1122000150;Bad Checks
XA01;1122000199;AV-Documentos a cobrar
XA01;1122000200;Note Receivable
XA01;1122500100;Servicios a Devengar
XA01;1123000099;AV-Servicios prestados y no facturados-SBF
XA01;1123000100;Servicios Prestados y no Facturados-SBF
